user,song,recommendation_type,expected_rating
user1,song9,balanced,3
user1,song11,safe_bet,1
user1,song10,discovery,3
user1,song13,exploratory,4
user1,song12,discovery,1
user2,song9,exploratory,2
user2,song11,balanced,5
user2,song10,exploratory,3
user2,song13,balanced,5
user2,song12,exploratory,2
user10,song5,balanced,5
user10,song6,balanced,4
user10,song7,balanced,5
user10,song8,balanced,5
user10,song9,balanced,4
user10,song3,balanced,5
user10,song11,balanced,5
user10,song10,balanced,5
user10,song12,balanced,4
user9,song7,safe_bet,5
user9,song8,safe_bet,4
user9,song10,safe_bet,2
user9,song13,balanced,5
user9,song12,safe_bet,3
user7,song8,balanced,5
user7,song11,safe_bet,2
user7,song10,discovery,1
user7,song13,balanced,5
user7,song12,discovery,2
user8,song8,exploratory,4
user8,song9,exploratory,3
user8,song11,balanced,5
user8,song13,safe_bet,5
user8,song12,safe_bet,3
user5,song9,balanced,2
user5,song10,discovery,1
user5,song13,exploratory,4
user5,song12,discovery,1
user6,song9,exploratory,3
user6,song11,balanced,5
user6,song10,safe_bet,4
user6,song13,balanced,5
user3,song11,balanced,5
user3,song10,discovery,1
user3,song13,balanced,5
user3,song12,discovery,2
user4,song9,exploratory,3
user4,song11,balanced,5
user4,song13,balanced,5
user4,song12,safe_bet,3
